[2026-07-01 14:16:28,410] INFO request middleware — Method=GET | URL=/employees/ | User=Anonymous | IP=127.0.0.1 | Duration=176.41ms | Status=200
[2026-07-01 14:16:28,502] INFO request middleware — Method=GET | URL=/favicon.ico | User=Anonymous | IP=127.0.0.1 | Duration=52.05ms | Status=404
[2026-07-01 14:16:44,605] INFO request middleware — Method=GET | URL=/employees/?search=Akhil+Rauthrao&department=it&status=active | User=Anonymous | IP=127.0.0.1 | Duration=31.68ms | Status=200
[2026-07-01 14:16:53,492] INFO request middleware — Method=GET | URL=/employees/?search=Akhil+Rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=136.92ms | Status=200
[2026-07-01 14:16:53,930] INFO request middleware — Method=GET | URL=/employees/?search=Akhil+Rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=31.00ms | Status=200
[2026-07-01 14:17:07,819] INFO request middleware — Method=GET | URL=/employees/?search=&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=34.35ms | Status=200
[2026-07-01 14:17:24,122] INFO request middleware — Method=GET | URL=/employees/?search=Akhil+Rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=32.90ms | Status=200
[2026-07-01 14:17:24,885] INFO request middleware — Method=GET | URL=/employees/?search=Akhil+Rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=30.54ms | Status=200
[2026-07-01 14:17:25,131] INFO request middleware — Method=GET | URL=/employees/?search=Akhil+Rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=132.55ms | Status=200
[2026-07-01 14:17:33,877] INFO request middleware — Method=GET | URL=/employees/?search=Akhil&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=140.55ms | Status=200
[2026-07-01 14:17:56,038] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=35.10ms | Status=200
[2026-07-01 14:17:56,942] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=139.22ms | Status=200
[2026-07-01 14:17:57,653] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=139.55ms | Status=200
[2026-07-01 14:17:58,144] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=32.94ms | Status=200
[2026-07-01 14:17:58,703] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=140.53ms | Status=200
[2026-07-01 14:17:58,998] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=34.86ms | Status=200
[2026-07-01 14:17:59,285] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status=active | User=Anonymous | IP=127.0.0.1 | Duration=138.16ms | Status=200
[2026-07-01 14:18:03,062] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status=inactive | User=Anonymous | IP=127.0.0.1 | Duration=135.02ms | Status=200
[2026-07-01 14:18:06,545] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status= | User=Anonymous | IP=127.0.0.1 | Duration=138.54ms | Status=200
[2026-07-01 14:18:07,559] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status= | User=Anonymous | IP=127.0.0.1 | Duration=32.66ms | Status=200
[2026-07-01 14:18:07,895] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=IT&status= | User=Anonymous | IP=127.0.0.1 | Duration=160.12ms | Status=200
[2026-07-01 14:18:11,701] INFO request middleware — Method=GET | URL=/employees/?search=rauthrao&department=it&status= | User=Anonymous | IP=127.0.0.1 | Duration=30.27ms | Status=200
